"นักวิจัย","คณะ","ภาควิชา","Scopus ID","Scopus URL","ORCID","Documents","Citations","Cited Docs","h-index"
"ประสาท เนืองเฉลิม","คณะศึกษาศาสตร์","ภาควิชาหลักสูตรและการสอน","35099135800","https://www.scopus.com/authid/detail.uri?authorId=35099135800","0000-0002-5361-0377","66","531","450","14"

"Title","Year","Type","Source Title","Volume","Issue","Pages","Authors","Citations","DOI","Scopus URL","EID"
"Fostering TPACK for Pre-service Teachers about Learning Management Competency into Professional Experiences","2023","Journal","Journal of Curriculum and Teaching","12","1","pp. 220–230","Nithitakkharanon P., Vetsawat C., Sawasdee V., Nuangchalerm P.","1","10.5430/jct.v12n1p220","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85165784482&origin=inward","2-s2.0-85165784482"
"Professional development of active learning management in primary teachers: Small-sized schools study","2022","Journal","International Journal of Advanced and Applied Sciences","9","12","pp. 46–52","Poonputta A., Nuangchalerm P.","3","10.21833/ijaas.2022.12.006","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85142067932&origin=inward","2-s2.0-85142067932"
"Self-development of primary school teachers in classroom management through an active learning program","2022","Journal","International Journal of Advanced and Applied Sciences","9","10","pp. 94–100","Kulachit N., Nuangchalerm P.","1","10.21833/ijaas.2022.10.012","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85139216393&origin=inward","2-s2.0-85139216393"
"STUDENTS’ UNDERSTANDING OF NATURE OF SCIENCE IN ISLAMIC PRIVATE SCHOOL","2022","Journal","Jurnal Pendidikan Islam","9","1","pp. 1–14","Safkolam R., Nuangchalerm P., Ahmad Zaky El Islami R., Saleah P.","2","10.15575/jpi.v0i0.21308","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85167915944&origin=inward","2-s2.0-85167915944"
"Enhancing pre-service teachers in learning management competency by TPACK framework study and professional requirement","2022","Journal","International Journal of Evaluation and Research in Education","11","3","pp. 1473–1479","Nithitakkharanon P., Nuangchalerm P.","12","10.11591/ijere.v11i3.22181","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85135744801&origin=inward","2-s2.0-85135744801"
"DEVELOPING SCIENTIFIC EXPLANATION OF GRADE 10 BIOLOGY STUDENTS THROUGH SOCIOBIOLOGICAL CASE-BASED LEARNING","2022","Journal","International Online Journal of Education and Teaching","9","3","pp. 1086–1095","Wanloh S., Nuangchalerm P.","3","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033127236&origin=inward","2-s2.0-105033127236"
"FACTORS AFFECTING THE LEARNING READINESS OF PRIMARY STUDENTS TO ONLINE INSTRUCTION","2022","Journal","International Online Journal of Education and Teaching","9","2","pp. 714–722","Kumsawai R., Nuangchalerm P., Sriwarom N., Na Kalasin C.","2","","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033133705&origin=inward","2-s2.0-105033133705"
"Understanding and satisfaction towards stem education of primary school teachers through professional development program","2021","Journal","Jurnal Pendidikan IPA Indonesia","10","2","pp. 171–177","Suebsing S., Nuangchalerm P.","10","10.15294/jpii.v10i2.25369","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85110438280&origin=inward","2-s2.0-85110438280"
"Tpack in asean perspectives: Case study on thai pre-service teacher","2020","Journal","International Journal of Evaluation and Research in Education","9","4","pp. 993–999","Nuangchalerm P.","29","10.11591/ijere.v9i4.20700","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095605237&origin=inward","2-s2.0-85095605237"
"Views of primary thai teachers toward STREAM education","2020","Journal","International Journal of Evaluation and Research in Education","9","4","pp. 987–992","Nuangchalerm P., Prachagool V., Prommaboon T., Juhji J., Imroatun I., Khaeroni K.","14","10.11591/ijere.v9i4.20595","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85095874448&origin=inward","2-s2.0-85095874448"
