"นักวิจัย","คณะ","ภาควิชา","ช่วงเวลา"
"ทั้งหมดตามตัวกรอง","คณะศึกษาศาสตร์","- เลือกทุกภาควิชา -","ทั้งหมด"

"No.","Firstname (EN)","Lastname (EN)","ชื่อ-สกุล (TH)","ภาควิชา","Documents","Citations","h-index","Scopus ID","Scopus URL","Last Scopus Fetch"
"37","SURACHET","NOIRID","สุรเชต น้อยฤทธิ์","ภาควิชาการบริหารการศึกษา","2","0","0","59552259000","https://www.scopus.com/authid/detail.uri?authorId=59552259000","2026-08-31 02:48:36"
"38","AREERAT","NONSUWAN","อารีย์รัตน์ โนนสุวรรณ","ภาควิชาหลักสูตรและการสอน","2","0","1","60120324200","https://www.scopus.com/authid/detail.uri?authorId=60120324200","2026-08-31 02:47:35"
"39","TATSIRIN","SAWANGBOON","ทัศน์ศิรินทร์ สว่างบุญ","ภาควิชาวิจัยและพัฒนาการศึกษา","1","22","1","60369919100","https://www.scopus.com/authid/detail.uri?authorId=60369919100","2026-08-31 02:49:35"
"40","SUPACHAI ","TUKLANG","ศุภชัย ตู้กลาง","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","1","7","1","58175926200","https://www.scopus.com/authid/detail.uri?authorId=58175926200","2026-08-31 02:50:57"
"41","THATCHAI ","CHITTRANUN","ธัชชัย จิตรนันท์","ภาควิชาการบริหารการศึกษา","1","6","1","58668574500","https://www.scopus.com/authid/detail.uri?authorId=58668574500","2026-08-31 02:48:46"
"42","THOOPTONG ","KWANGSAWAD","ธูปทอง กว้างสวาสดิ์","ภาควิชาหลักสูตรและการสอน","1","4","1","57224485836","https://www.scopus.com/authid/detail.uri?authorId=57224485836","2026-08-31 02:45:56"
"43","GUNNIGA"," PHANSRI","กรรณิกา พันธ์ศรี","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","1","3","1","57761480900","https://www.scopus.com/authid/detail.uri?authorId=57761480900","2026-08-31 02:51:25"
"44","ANURAKPAPOP ","MEETON","อนุรักษ์ปภพ มีตน","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","1","2","1","58283699100","https://www.scopus.com/authid/detail.uri?authorId=58283699100","2026-08-31 02:50:19"
"45","ARCHRAWADEE ","SRIJAROON","อัจฉราวดี ศรีจรูญ","ภาควิชาวิทยาศาสตร์สุขภาพและการกีฬา","1","2","1","57940312700","https://www.scopus.com/authid/detail.uri?authorId=57940312700","2026-08-31 02:50:30"
"46","Wilasinee","Fondee","วิลาสินี ฝนดี","ภาควิชาจิตวิทยาการศึกษาและการแนะแนว","1","1","1","59656097000","https://www.scopus.com/authid/detail.uri?authorId=59656097000","2026-08-31 02:52:03"
